team,name,caps,position,years_since_debut,debut,age,approx_age_debuted,height_cm,weight_kg
Australia,Stephen Moore,102,Hooker,10.5,11-Jun-05,32,22,186,112
Japan,Male Sau,26,Centre,2.6,20-Apr-13,28,25,183,97
South Africa,Pieter-Steph Du Toit,8,Lock,2,9-Nov-13,23,21,200,115
Japan,Harumichi Tatekawa,43,Centre,3.6,28-Apr-12,25,21,181,94
New Zealand,Beauden Barrett,36,Fly Half,3.4,23-Jun-12,24,21,187,91
Argentina,Martín Landajo,52,Scrum Half,5.5,21-May-10,27,22,171,81
New Zealand,Ben Smith,48,Wing,6,14-Nov-09,29,23,186,94
Scotland,David Denton,32,Back Row,4.3,6-Aug-11,25,21,196,114
Samoa,Wayne Ole Avei,24,Hooker,4.4,2-Jul-11,32,28,178,114
Japan,Hitoshi Ono,96,Lock,11.5,16-May-04,37,26,192,106
Tonga,Will Helu,23,Wing,5.4,19-Jun-10,29,24,190,89
Wales,Luke Charteris,62,Lock,11.1,6-Nov-04,32,21,206,125
Tonga,Latiume Fosita,14,Fly Half,2,16-Nov-13,23,21,187,97
England,Jack Nowell,10,Wing,1.8,1-Feb-14,22,20,180,89
Fiji,Leroy Atalifo,4,Prop,1.4,28-Jun-14,27,26,180,130
New Zealand,Codie Taylor,4,Hooker,0.4,17-Jul-15,24,24,183,106
Japan,Kenki Fukuoka,17,Wing,2.6,20-Apr-13,23,20,175,83
New Zealand,Colin Slade,21,Fly Half,5.2,11-Sep-10,28,23,183,90
USA,Danny Barrett,13,Back Row,1.5,7-Jun-14,25,24,193,97
USA,Blaine Scully,29,Wing,4.4,18-Jun-11,27,23,192,92
USA,Mike Petri,57,Scrum Half,8.2,30-Sep-07,31,23,180,86
Namibia,Damian Stevens,4,Scrum Half,0.3,8-Aug-15,20,20,175,82
Samoa,Fa'atoina Autagavaia,18,Full Back,3.5,5-Jun-12,27,24,178,82
Canada,Doug Wooldridge,23,Prop,6.5,23-May-09,29,23,180,106
Namibia,Danie Van Wyk,15,Centre,4.5,10-Jun-11,29,25,188,91
Canada,Connor Braid,19,Fly Half,5.1,6-Nov-10,25,20,185,82
Fiji,Taniela Koroi,3,Prop,1,21-Nov-14,25,24,184,115
Uruguay,Juan De Freitas,41,Back Row,6,21-Nov-09,25,19,181,97
Samoa,Kane Thompson,33,Lock,8.5,19-May-07,33,25,198,113
Italy,Valerio Bernabò,27,Lock,11,27-Nov-04,31,20,198,110
New Zealand,Richie McCaw,148,Back Row,14,17-Nov-01,34,20,187,105
Fiji,Nemia Kenatale,37,Scrum Half,7.4,22-Jun-08,29,22,179,85
Fiji,Tevita Cavubati,12,Lock,4.4,2-Jul-11,28,24,200,120
Georgia,Vazha Khutsishvili,20,Scrum Half,2.8,23-Feb-13,22,19,165,73
Ireland,Jared Payne,10,Centre,1,8-Nov-14,30,29,188,95
Australia,Adam Ashley-Cooper,114,Centre,10.3,20-Aug-05,31,21,182,98
Scotland,Grant Gilchrist,12,Lock,2.7,16-Mar-13,25,22,202,120
France,Wesley Fofana,39,Centre,3.8,4-Feb-12,27,23,182,93
New Zealand,Luke Romano,22,Lock,3.4,23-Jun-12,29,26,199,113
France,Noa Nakaitaci,8,Wing,0.7,15-Mar-15,25,24,190,97
Wales,Ken Owens,34,Hooker,4.2,26-Sep-11,28,24,184,108
Scotland,Sean Maitland,20,Wing,2.8,2-Feb-13,27,24,188,98
Romania,Adrian Apostol,22,Wing,4.5,10-Jun-11,25,21,187,93
Samoa,Iosefa Tekori,34,Lock,8.5,9-Jun-07,31,23,198,119
Scotland,Alasdair Dickinson,52,Prop,8.2,23-Sep-07,32,24,185,111
South Africa,Lodewyk De Jager,19,Lock,1.5,14-Jun-14,22,21,205,125
New Zealand,Keven Mealamu,132,Hooker,13,23-Nov-02,36,23,181,109
Argentina,Marcelo Bosch,39,Centre,8.5,9-Jun-07,31,23,186,92
Scotland,Alasdair Strokosch,47,Back Row,9,25-Nov-06,32,23,191,109
France,Morgan Parra,66,Scrum Half,7.8,3-Feb-08,27,19,180,83
Namibia,Torsten Van Jaarsveld,11,Hooker,1.1,29-Oct-14,28,27,173,100
Tonga,Hale T Pole,33,Back Row,8.8,10-Feb-07,36,27,190,109
